id,from,to,priority,type,shape,spreadType
51799432#2,500094881,8771565283,10,highway.tertiary,"[4543.04, 2466.68]",center
52217985,cluster_664906569_664906572_8279195451,664906573,3,highway.residential,"[4549.18, 2402.83]",center
52218015,cluster_6570389883_6570398985,6570389882,3,highway.residential,"[4551.2, 2381.75]",center
52218016,664906571,cluster_664906569_664906572_8279195451,3,highway.residential,"[4556.74, 2340.83]",center
52244427#0,272452722,cluster_317515083_7650321646,13,highway.trunk,"[4558.82, 2319.32]",center
52244427#10-AddedOffRampEdge,52244427#10-AddedOffRampNode,7650476415,13,highway.trunk,"[4562.44, 2279.59]",center
52244427#11,7650476415,7650476411,13,highway.trunk,"[4253.75, 2096.18]",center
52244427#13,7650476363,271214710,13,highway.trunk,"[4268.3, 1953.62]",center
52244427#14,52244427#14-AddedOnRampNode,513516399,13,highway.trunk,"[5302.04, 1766.41]",center
52244427#14-AddedOnRampEdge,271214710,52244427#14-AddedOnRampNode,13,highway.trunk,"[4749.44, 1715.16]",center
52244427#2,cluster_317515083_7650321646,317514851,13,highway.trunk,"[4750.65, 1704.07]",center
52244427#6,8227450781,7936970482,13,highway.trunk,"[4279.32, 1954.82]",center
52244427#7-AddedOnRampEdge,7936970482,52244427#7-AddedOnRampNode,13,highway.trunk,"[5232.09, 2059.38]",center
52299519,6568207663,cluster_314796636_6568207664_6568207666,3,highway.residential,"[5224.83, 1916.96]",center
540229982,5226796927,1642458567,6,highway.secondary_link,"[4926.96, 2266.47]",center
564555056#0,6572227434,564555056#0-AddedOffRampNode,12,highway.primary,"[4946.91, 2103.33]",center
564555056#0-AddedOffRampEdge,564555056#0-AddedOffRampNode,7958644218,12,highway.primary,"[4986.23, 1740.53]",center
564555056#7,7958644218,7958644226,12,highway.primary,"[4987.67, 1729.36]",center
564555056#8,7958644226,7937914246,12,highway.primary,"[4990.86, 1661.31]",center
564577984#0,7937930888,7937930881,12,highway.primary,"[4590.59, 2146.02]",center
564577984#1-AddedOnRampEdge,7937930881,564577984#1-AddedOnRampNode,12,highway.primary,"[4581.85, 2229.26]",center
564577984#3-AddedOffRampEdge,564577984#3-AddedOffRampNode,7937295999,12,highway.primary,"[4947.23, 3149.1]",center
564577984#5,2251061748,7937296069,12,highway.primary,"[5044.48, 3153.17]",center
564577984#6,7937296069,7937296074,12,highway.primary,"[5062.17, 3150.07]",center
564577990#0,6273610477,2251061882,10,highway.tertiary,"[5062.17, 3150.07]",center
564577990#1,2251061882,286841627,10,highway.tertiary,"[5280.19, 2418.25]",center
591622419,6570314025,6570314024,5,highway.tertiary_link,"[5132.3, 3042.22]",center
650705746,cluster_286955226_6568207661,8771565273,3,highway.residential,"[5164.58, 2982.05]",
650714381#0,6278529724,8010531648,10,highway.tertiary,"[5224.58, 2839.51]",center
650714381#2-AddedOffRampEdge,650714381#2-AddedOffRampNode,8771565253,10,highway.tertiary,"[5239.34, 2784.06]",center
650714381#3,8771565253,8771565246,10,highway.tertiary,"[5242.75, 2769.11]",center
650714381#4,8771565246,286955289,10,highway.tertiary,"[5257.36, 2701.26]",center
650714381#5-AddedOffRampEdge,650714381#5-AddedOffRampNode,8010531622,10,highway.tertiary,"[5257.36, 2701.26]",center
650714381#6,8010531622,8010531072,10,highway.tertiary,"[5273.93, 2556.85]",center
650714381#7,650714381#7-AddedOnRampNode,8771565241,10,highway.tertiary,"[4672.73, 2350.18]",center
650714381#7-AddedOnRampEdge,8010531072,650714381#7-AddedOnRampNode,10,highway.tertiary,"[4665.19, 2420.4]",center
651186611#0,6580170187,2251061813,3,highway.residential,"[4597.26, 3053.11]",
651186611#1,2251061813,6580157423,3,highway.residential,"[4665.19, 2420.4]",
651186611#3,6580157423,2251061792,3,highway.residential,"[4657.52, 2491.81]",
652036314,6574850842,6574850841,5,highway.tertiary_link,"[4634.82, 2703.32]",center
652052019#0,6113729855,6135315604,3,highway.residential,"[4634.82, 2703.32]",
652052019#1,6135315604,6570524711,3,highway.residential,"[4626.26, 2782.98]",
652088553#0,6517743417,cluster_6570398987_6570398989,3,highway.residential,"[4604.74, 2983.38]",
652088553#11,cluster_6570389883_6570398985,cluster_2265599280_6572911077_6572911079,3,highway.residential,"[4270.93, 3450.96]",
652088553#14,cluster_2265599280_6572911077_6572911079,2265599273,3,highway.residential,"[4271.9, 3443.5]",
652088553#16,8074011445,cluster_286955932_286957948,3,highway.residential,"[4277.69, 3398.96]",
652088553#18,cluster_286955932_286957948,2265599318,3,highway.residential,"[4283.1, 3357.41]",
652088553#2,cluster_6570398987_6570398989,cluster_314796298_314796350_314796427,3,highway.residential,"[4288.54, 3315.59]",
652088553#5,cluster_314796298_314796350_314796427,cluster_664906569_664906572_8279195451,3,highway.residential,"[4298.29, 3239.69]",
652088553#8,cluster_664906569_664906572_8279195451,286958046,3,highway.residential,"[4300.8, 924.26]",
652088553#9,286958046,cluster_6570389883_6570398985,3,highway.residential,"[4298.13, 947.09]",
652096512#0,492502670,cluster_492502671_492502673_6276998190_6276998191,3,highway.residential,"[4297.12, 955.92]",center
652130052,8006886501,8006886495,10,highway.tertiary,"[4227.4, 1524.67]",center
654745261,cluster_6135315457_6570524667_6570524668,6135315604,3,highway.residential,"[4046.92, 3212.82]",
654745267,cluster_6135315479_6570524743,6135315478,3,highway.residential,"[4044.32, 3217.33]",
654745275#0,8457379290,8457379289,3,highway.residential,"[4038.38, 3231.74]",center
654745275#5,6570524768,8700679553,3,highway.residential,"[4036.1, 3241.83]",center
654745275#6,8700679553,8700679539,3,highway.residential,"[4048.01, 3439.29]",center
654745275#8,8700679548,8700679549,3,highway.residential,"[4047.57, 3462.58]",center
654745276#0,6568148757,cluster_367884781_6570524756,3,highway.residential,"[4031.19, 3541.23]",center
654745276#2,cluster_367884781_6570524756,cluster_6135315669_6570524733_6570524734_6570524737_6865759172,3,highway.residential,"[4023.09, 3575.51]",center
654745276#4,cluster_6135315669_6570524733_6570524734_6570524737_6865759172,cluster_6570524706_6570524707,3,highway.residential,"[4015.29, 3609.51]",center
654745276#5,cluster_6570524706_6570524707,cluster_3675027604_6570524709,3,highway.residential,"[3976.49, 3782.03]",center
