id,from,to,priority,type,shape,spreadType
693660700,6517743417,cluster_6570398999_6570399000,3,highway.residential,"3260.08,2292.36 3259.20,2296.22 3257.40,2299.10 3254.84,2301.34 3251.75,2302.76 3248.36,2303.22 3245.00,2302.95 3077.75,2284.09",center
693684932#1,cluster_6568207743_6568207745_9848177519_9848177526,287522681,3,highway.residential,"3211.60,2897.42 3070.83,2880.86",
693684932#3,6568207747,287522680,3,highway.residential,"3004.53,2874.47 2896.38,2863.76 2788.26,2852.73",
694211551#1,694211551#1-AddedOnRampNode,6278529724,10,highway.tertiary,"2964.27,2215.94 2972.65,2140.70 2971.93,2133.33 2968.82,2126.62 2963.69,2121.28 2957.08,2117.90 2949.73,2116.85",center
694211551#1-AddedOnRampEdge,8006884418,694211551#1-AddedOnRampNode,10,highway.tertiary,"2954.69,2315.49 2958.39,2282.75 2963.05,2241.35 2965.86,2216.12",center
699470588,7650476411,7650476410,8,highway.trunk_link,"2222.71,3008.11 2218.78,3011.06 2216.19,3008.15 2214.80,3004.52 2214.76,3000.63 2216.10,2996.99 2218.64,2994.02 2222.05,2992.14 2225.41,2996.34",center
699630234,cluster_6569939661_6569939663,6569939659,3,highway.residential,"5442.34,2494.73 5473.79,2491.52 5471.03,2462.40",
699630235,cluster_6569939661_6569939663,6569939662,3,highway.residential,"5443.17,2503.06 5399.81,2504.81",
699630259#1,6569939808,3675027622,3,highway.residential,"5423.69,2780.15 5393.29,2772.49 5367.09,2766.14",
699645910,6572911034,6570091005,3,highway.residential,"2422.21,1811.84 2505.64,1821.35 2510.19,1822.16 2514.38,1823.52 2518.05,1825.96 2520.93,1829.29 2522.78,1833.27 2523.49,1837.60 2523.11,1841.96 2522.02,1852.19",
699651625#1,8704535884,8354673990,10,highway.tertiary,"4474.88,3267.29 4461.01,3420.38 4457.45,3485.65 4448.84,3618.49 4447.90,3634.49 4443.92,3693.53 4440.61,3762.67 4429.30,3938.83 4428.45,3954.19 4426.81,3969.49 4424.35,3984.68 4421.27,3999.10 4417.46,4013.35 4412.95,4027.40 4412.10,4029.64 4407.73,4041.20 4401.83,4054.73 4382.70,4101.19 4359.61,4157.23 4356.77,4169.74 4354.71,4182.38 4353.44,4195.14 4352.96,4208.63 4353.36,4222.11 4354.64,4235.55 4356.80,4248.87 4364.80,4294.56 4398.75,4488.70 4399.60,4492.62 4402.51,4503.11 4406.63,4513.18 4411.90,4522.69",center
699651628#0,8744937860,6572780079,10,highway.tertiary,"4362.96,4527.08 4368.10,4521.86 4372.67,4516.16 4376.61,4509.99 4380.01,4503.19 4382.64,4496.05 4384.51,4490.39 4384.88,4485.05 4384.84,4480.76 4362.93,4345.10 4345.25,4242.57 4342.72,4226.40 4341.63,4210.06 4342.01,4193.69 4343.86,4177.42 4347.15,4161.38 4351.86,4145.69 4357.14,4132.29 4363.02,4120.15 4394.79,4041.71 4404.90,4007.47 4409.71,3982.18 4412.69,3952.10 4413.55,3930.16 4415.01,3879.02 4419.22,3781.61 4420.90,3749.65 4423.75,3715.31 4426.62,3657.88 4428.21,3633.86 4429.31,3616.18 4430.29,3600.31 4431.97,3572.34 4437.72,3482.41 4438.99,3465.14 4445.95,3378.86",center
699651628#1-AddedOffRampEdge,699651628#1-AddedOffRampNode,8704535879,10,highway.tertiary,"4450.40,3366.61 4460.42,3267.11",center
699651628#2,8704535879,8707502428,10,highway.tertiary,"4463.60,3267.43 4462.34,3215.70",center
